Title,KSCdirect Part #,Price,UPC
4 CELL CORE PIPE 10' LENGTH 51850   (480),PIPE CELL 4X10,$2.56,098248518501
3/8 X 1/4 BLK STEEL HEX BUSHING,BUSH BLK 3/8X1/4,$0.87,69029134735
3/4 150# TYPE 304 SS 90 ELL,90 304 3/4,$4.40,671404094157
2 BLK MI 150# TEE,TEE BLK 2,$31.24,69029134571
DWV Male Adapter H x MPT,LAS D109030,$6.30,025528716103
1 X 2 SCH40 BLK PIPE NIPPLE,NIP BLK 1X2,$3.76,64444400177
3 PVC-DWV 90 ELL P300-030,90 PVCD 3,$13.01,054211171011
3/4 PVC-40 MALE ADAPTER,SPE 436-007,$0.52,054211162583
1 150# TYPE 304 SS 90 ELL,90 304 1,$6.31,671404094201
3/4 150# TYPE 304 SS TEE,TEE 304 3/4,$6.62,671404094553
1/2 X 2 SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/2X2,$2.18,671404026769
1/4 STEEL STD MERCHANT SQ HEAD PLUG,PLUG BLK 1/4,$0.35,69029135340
3/4 X 3 SCH40 BLK PIPE NIPPLE,NIP BLK 3/4X3,$2.85,64444400145
3/4 X 1/2 BLK MI 150# REDUCER,RED BLK 3/4X1/2,$5.04,69029134840
3/4 BLK MI 150# CAP,CAP BLK 3/4,$3.79,69029153567
1/2 X 1-1/2 SCH40 BLK PIPE NIPPLE,NIP BLK 1/2X1-1/2,$2.04,64444400107
3-1/2X3/4  J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,STB HBJS212,$4.32,
1/2 X 50 FT COIL COPPER REFRIGERATION TUBE   D 08050,REF COIL 1/2X50,$148.12,685768236344
1 PVC-80 90 ELL S X S,SPE 806-010,$3.92,054211168646
13/16 14GA PRE-GAL CHANNEL W/ELONGATED HOLES,GRI PS500EH-10-PGAL,$3.84,69029123809
1 PVC SCH 40 PLASTIC PIPE 42046 Belled End,PIPE PVC40 1,$0.62,098248420469
1/2 X 3/8 150# TYPE 304 SS BUSHING,BUSH 304 1/2X3/8,$2.17,671404095475
2 X 6 SCH40 BLK PIPE NIPPLE,NIP BLK 2X6,$13.76,64444400286
3/4 BLK SCH40 PIPE T&C,PIPE BLK TC 3/4,$2.98,
1/2 X 3 SCH40 BLK PIPE NIPPLE,NIP BLK 1/2X3,$2.43,64444400110
3 X 2 BLK CI 125# HEX BUSHING,BUSH BLK 3X2,$17.90,69029103601
11/2 90 FIP ELBOW (SXFIP),GEN 33915,$2.43,
3/4 C X C SR 90 ELL.,MUE W 01634,$2.70,685768232308
1-1/2 PVC-40 COUP S X S,SPE 429-015,$1.23,054211137628
4 PVC SCH 40 PLASTIC PIPE 47675 Belled End,PIPE PVC40 4,$3.53,098248476756
1 150# TYPE 304 SS TEE,TEE 304 1,$8.38,671404094560
1 PVC SCH 80 PLASTIC PIPE - GRAY 43045   Plain End,PIPE PVC80 GRAY 1,$1.22,098248430451
1/2 150# TYPE 304 SS TEE,TEE 304 1/2,$4.16,671404094546
3/8 X 1/4 150# TYPE 304 SS BUSHING,BUSH 304 3/8X1/4,$1.71,671404095444
2 150# TYPE 304 SS 90 ELL,90 304 2,$18.11,671404094232
3/4 X 6 SCH40 BLK PIPE NIPPLE,NIP BLK 3/4X6,$5.05,64444400151
2 PVC SCH 80 TEE S X S X S,SPE 801-020,$24.20,054211193273
2 PVC-40 MALE ADAPTER,SPE 436-020,$2.02,054211162736
1 PVC-40 90 ELL S X S,SPE 406-010,$1.06,054211140680
1-1/2 PVC-DWV 45 ELL P321-015,45 PVCD 1-1/2,$2.62,054211171158
1 X 3/4 BLK MI 150# REDUCER,RED BLK 1X3/4,$7.83,69029134843
2 X 1 BLK CI 125# HEX BUSHING,BUSH BLK 2X1,$9.64,69029134754
1-1/2 BLK MI 150# GJ UNION G463-LF,UNION BLK 1-1/2,$34.65,69029182534
1 X 3 SCH40 BLK PIPE NIPPLE,NIP BLK 1X3,$3.95,64444400179
3 PVC-DWV COUP P100-030,COUP PVCD 3,$6.26,054211170571
2 X 3 SCH40 BLK PIPE NIPPLE,NIP BLK 2X3,$8.42,64444400280
3/4 FTG X C SR 90 ELL,MUE W 01654,$3.89,685768232322
3/8 X CL SCH40 TYPE 304 SS NIPPLE,NIP 304 3/8XCL,$1.17,671404026523
1 X 1/2 150# TYPE 304 SS BUSHING,BUSH 304 1X1/2,$4.25,671404095550
2 150# TYPE 304SS CAST STOCK COUP,COUP 304 2,$20.21,671404094843
2 PVC-DWV P-TRAP L/CO P706X-020,PTRAP PVCD 2,$12.43,054211171714
1-1/4 X CL SCH40 BLK PIPE NIPPLE,NIP BLK 1-1/4XCL,$4.33,64444400210
1-1/2 PVC SCH 40 PLASTIC PIPE 42070   Belled End,PIPE PVC40 1-1/2,$0.99,098248420704
1 X 1/2 BLK MI 125# HEX BUSHING,BUSH BLK 1X1/2,$4.79,69029134743
2 PVC40 TEE SXSXS,SPE 401-020,$3.88,054211146248
1/2 X 4 SCH40 BLK PIPE NIPPLE,NIP BLK 1/2X4,$2.95,64444400112
3 NON-ASBESTOS 150# FULL FACE FLANGE GASKET CGF1001.116.3.150,GSKT 150 FULL 3,$3.08,
1-1/2 PVC-DWV SAN TEE P400-015,TEE PVCD 1-1/2,$4.91,054211171332
3/4 150# TYPE 304 SS 90 STREET ELL,90ST 304 3/4,$6.51,671404094430
1/2 150# TYPE 304 SS 90 STREET ELL,90ST 304 1/2,$4.80,671404094423
1 X 2 SCH40 TYPE 304 SS NIPPLE,NIP 304 1X2,$3.44,671404027339
1 150# TYPE 304SS CAST STOCK COUP,COUP 304 1,$7.69,671404094812
3 PVC SCH 40 PLASTIC PIPE 42111    Belled End,PIPE PVC40 3,$2.60,098248421114
1 X 6 SCH40 BLK PIPE NIPPLE,NIP BLK 1X6,$6.91,64444400185
3/8 X CL SCH40 BLK PIPE NIPPLE,NIP BLK 3/8XCL,$2.43,64444400071
1/2 X 6 SCH40 BLK PIPE NIPPLE,NIP BLK 1/2X6,$3.80,64444400116
3/4 PVC40 TEE SXSXS,SPE 401-007,$0.75,054211145289
2-1/4X5/8 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,STB HBJS208,$2.96,
2 150# TYPE 304 SS TEE,TEE 304 2,$26.66,671404094607
3/8 STEEL STD MERCHANT SQ HEAD PLUG,PLUG BLK 3/8,$0.48,69029135341
3/4 X 2 SCH40 TYPE 304 SS NIPPLE,NIP 304 3/4X2,$2.59,671404027162
1/2 X CL 2200 BRASS PIPE NIPPLE       4422338,NIP BRS 1/2XCL,$2.42,671404071035
4 NON-ASBESTOS 150# FULL FACE FLANGE GASKET CGF1001.116.4.150,GSKT 150 FULL 4,$3.95,
2 BLK MI 150# 90 ST ELL,90ST BLK 2,$27.40,69029134708
2 X 4 SCH40 BLK PIPE NIPPLE,NIP BLK 2X4,$10.19,64444400282
3/4 X 4 SCH40 BLK PIPE NIPPLE,NIP BLK 3/4X4,$3.57,64444400147
1 INSERT MALE ADPT INS X MIPT,SPE 1436-010,$1.19,054211190265
3/4 X 1/4 BLK STEEL HEX BUSHING,BUSH BLK 3/4X1/4,$2.10,69029134739
1/4 X CL 2200 BRASS PIPE NIPPLE       4422304,NIP BRS 1/4XCL,$1.79,671404007119
1/2 150# TYPE 304 SS SQ HEAD PLUG,PLUG 304 1/2,$2.35,671404096083
2 PVC-40 CAP SLIP,SPE 447-020,$1.61,054211136881
DWV SANITARY TEE ALL HUB,LAS D400015,$3.28,025528716974
1-1/4 X 1 BLK MI 125# HEX BUSHING,BUSH BLK 1-1/4X1,$6.17,69029134747
1 X 4 SCH40 BLK PIPE NIPPLE,NIP BLK 1X4,$4.96,64444400181
3/4 X 1-1/2 SCH40 BLK PIPE NIPPLE,NIP BLK 3/4X1-1/2,$2.53,64444400142
1/2 X 4 SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/2X4,$3.91,671404026813
1-1/2 PVC-40 MALE ADAPTER,SPE 436-015,$1.54,054211162682
4 PVC-DWV COUP P100-040,COUP PVCD 4,$10.75,054211170595
1 PVC SCH 80 COUP S X S,SPE 829-010,$4.80,054211168486
1-1/2 PVC-80 90 ELL S X S,SPE 806-015,$5.62,054211168653
1-1/2 PVC-40 90 ELL S X S,SPE 406-015,$2.01,054211140826
1/2 X 3 SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/2X3,$3.04,671404026790
1 PVC SCH 80 MALE ADPT,SPE 836-010,$7.69,054211167984
1/2 BLK SCH40 PIPE T&C,PIPE BLK TC 1/2,$2.28,
1 3000# FS SCREWED UNION,UNION 3000 SCR 1,$25.94,69029109092
2 X 2-1/2 SCH40 BLK PIPE NIPPLE,NIP BLK 2X2-1/2,$8.42,64444400279
1-1/2 X CL SCH 40 TYPE 304 SS NIPPLE,NIP 304 1-1/2XCL,$4.50,671404027759
4 PVC-DWV THREADED PLUG P106-040,PLUG PVCD 4,$7.02,054211170922
3/4 X 3 SCH40 TYPE 304 SS NIPPLE,NIP 304 3/4X3,$3.63,671404027193
2 X 1-1/2 PVC-DWV SXS BUSHING P107-251,BUSH PVCD 2X1-1/2,$2.30,054211170939
3/4 PVC-40 COUP S X S,SPE 429-007,$0.48,054211137505
1 3000# FS SCREWED COUP,COUP 3000 SCR 1,$6.24,69029108886
1-1/4 BLK MI 150# 90 ELL,90 BLK 1-1/4,$9.57,69029134634
1-3/8X3/8 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,STB HBJS202,$1.40,
3 PVC-DWV 45 ELL P321-030,45 PVCD 3,$11.03,054211171172
1-1/2 BLK STD MERCHANT COUP,COUP BLK 1-1/2,$11.59,69029134273
Sch40 Reducer Bushing SP x Slip,LAS 437211,$0.83,025528718718
2 X 1-1/2 150# TYPE 304 SS BUSHING,BUSH 304 2X1-1/2,$14.06,671404095765
4 X 2 BLK CI 125# HEX BUSHING,BUSH BLK 4X2,$40.38,69029103616
1-1/2 X 1 BLK CI 125# HEX BUSHING,BUSH BLK 1-1/2X1,$7.04,69029134750
1 PVC 40 COUPLING S X S,SPE 429-010,$0.83,054211137543
1/4 150# TYPE 304 SS 90 STREET ELL,90ST 304 1/4,$3.31,671404094409
1/4 X 1-1/2 SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/4X1-1/2,$1.20,671404026387
1/8 BLK STD MERCHANT COUP,COUP BLK 1/8,$2.28,69029134265
3/4 3000# FS SCREWED UNION,UNION 3000 SCR 3/4,$19.86,69029109091
3/4 3000# FS SCREWED 90 ELL,90 3000 SCR 3/4,$8.27,69029108812
3 PVC-40 COUP S X S,SPE 429-030,$6.50,054211164532
1 X 3 SCH40 TYPE 304 SS NIPPLE,NIP 304 1X3,$4.64,671404027360
1 BLK SCH40 PIPE T&C,PIPE BLK TC 1,$4.13,
4 PVC-40 COUP S X S,SPE 429-040,$9.42,054211164570
1/2 X 1-1/2 SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/2X1-1/2,$1.82,671404026745
2 AS1100-2-AS RIDGID PIPE CLAMP,GRI AS1100 2,$3.84,69029138316
1/4 BLK MI 150# TEE,TEE BLK 1/4,$5.81,69029134564
3/4 X 1/2 3000# FS SCREWED HEX BUSHING,BUSH 3000 SCR 3/4X1/2,$2.49,69029109029
2X5/8 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,STB HBJS207,$2.78,
1 150# TYPE 304 SS 90 STREET ELL,90ST 304 1,$11.20,671404094447
3/4 X 1/4 150# TYPE 304 SS BUSHING,BUSH 304 3/4X1/4,$3.17,671404095499
4 CLS 150 RF SLIP ON FLANGE,FLG 150 RFSO 4,$34.27,
1-1/2 150# TYPE 304 SS 90 ELL,90 304 1-1/2,$14.48,671404094225
3 PVC SCH 80 COUP S X S,SPE 829-030,$23.91,054211192993
3/4 X CL 2200 BRASS PIPE NIPPLE       4422355,NIP BRS 3/4XCL,$3.50,671404071295
3/4 SWT 90 ELL WE500    607,90 SWT 3/4,$2.90,039923312884
1/4 150# TYPE 304 SS TEE,TEE 304 1/4,$3.13,671404094522
2 PVC SCH 80 UNION S X S,SPE 8057-020,$31.25,054211855782
1-1/2 PVC SCH 80 PLASTIC PIPE - GRAY 43080    Plain End,PIPE PVC80 GRAY 1-1/2,$2.25,098248430802
3 X CL SCH40 BLK PIPE NIPPLE,NIP BLK 3XCL,$27.24,64444400343
2 X 4 SCH40 TYPE 304 SS NIPPLE,NIP 304 2X4,$11.41,671404028121
1-1/2 PVC DWV F/TRP ADPT W/ NUT&WSHR HXSL,SPE P104R-015,$3.86,054211193983
1-1/2 X 1-1/4 BLK MI 125# HEX BUSHING,BUSH BLK 1-1/2X1-1/4,$7.83,69029134751
1-1/2X5/8 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,STB HBJS205,$2.30,
4 PVC-DWV 90 ELL P300-040,90 PVCD 4,$23.76,054211172315
2 PVC-DWV 45 STREET ELL P323-020,45ST PVCD 2,$4.06,054211176184
1 X 3/4 3000# FS SCREWED HEX BUSHING,BUSH 3000 SCR 1X3/4,$4.06,69029109034
1/4 150# TYPE 304 SS SQ HEAD PLUG,PLUG 304 1/4,$1.25,671404096182
1 150# TYPE 304 SS UNION,UNION 304 1,$16.41,671404096496
1 X CL SCH80 BLK PIPE NIPPLE,NIP XH 1XCL,$5.81,64444401176
2 X 6 SCH40 TYPE 304 SS NIPPLE,NIP 304 2X6,$18.21,671404028169
3 PVC-80 90 ELL S X S,SPE 806-030,$17.88,054211193129
1-1/2 PVC SCH 80 COUP S X S,SPE 829-015,$7.88,054211168509
1-1/2 PVC-DWV P-TRAP L/CO PVC40   P706X-015,PTRAP PVCD 1-1/2,$9.42,054211171707
3 X 2 PVC-DWV RED COUP P102-338,COUP PVCD 3X2,$9.15,054211171844
3/4 FTG X 1/2 C FL BUSH,MUE W 01726,$4.51,685768208013
4X3/4 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,STB HBJS213,$4.99,
1/8 150# TYPE 304SS CAST STOCK COUP,COUP 304 1/8,$1.88,671404094768
3/4 3000# FS SCREWED COUP,COUP 3000 SCR 3/4,$3.58,69029108885
1/4 X 1-1/2 SCH40 BLK PIPE NIPPLE,NIP BLK 1/4X1-1/2,$2.53,64444400037
3 CLS 150 RF SLIP ON FLANGE,FLG 150 RFSO 3,$27.91,
3/4 PVC-80 90 ELL S X S,SPE 806-007,$2.43,054211168639
1 X 4 SCH40 TYPE 304 SS NIPPLE,NIP 304 1X4,$5.98,671404027384
3/4 150# TYPE 304 SS UNION,UNION 304 3/4,$10.88,671404096489
1 3000# FS SCREWED 90 ELL,90 3000 SCR 1,$12.29,69029108813
1/4 X 2 SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/4X2,$1.44,671404026400
1 BLK SCH40 PIPE PE,PIPE BLK PE 1,$3.44,
3/8 BLK STD MERCHANT COUP STRAIGHT TAPPED,COUP BLK 3/8,$3.77,69029134268
2 BLK MI 150# CAP,CAP BLK 2,$12.12,69029134806
2 X 3 SCH40 TYPE 304 SS NIPPLE,NIP 304 2X3,$9.18,671404028107
3 PVC-40 90 ELL S X S,SPE 406-030,$11.47,054211165140
3/4 PVC SCH 80 PLASTIC PIPE - GRAY 43025     Plain End,PIPE PVC80 GRAY 3/4,$1.01,098248430253
2 PVC SCH 80 FEM ADPT,SPE 835-020,$24.49,054211192948
3/4 SWT MALE ADPT WC401  WP4-12   604,MIP SWT 3/4,$4.54,039923303301
1/4 BLK MI 150# 90 ST ELL,90ST BLK 1/4,$5.90,69029134701
1-1/2 3000# FS SCREWED UNION,UNION 3000 SCR 1-1/2,$49.08,69029109094
1-1/2 BLK MI 150# TEE,TEE BLK 1-1/2,$18.33,69029134570
3/4 X 6 SCH40 TYPE 304 SS NIPPLE,NIP 304 3/4X6,$6.76,671404027254
4 X 3 BLK CI 125# HEX BUSHING,BUSH BLK 4X3,$40.38,69029153102
1/4 X 2 SCH40 BLK PIPE NIPPLE,NIP BLK 1/4X2,$2.53,64444400038
1/4 X 50 FT COIL COPPER REFRIGERATION TUBE    D 04050,REF COIL 1/4X50,$73.64,685768236375
4 PVC SCH 80 COUP S X S,SPE 829-040,$29.94,054211168523
3 CLASS 150 RF THD FLANGE,FLG 150 RF THD 3,$35.74,
1/4 X 1/8 150# TYPE 304 SS BUSHING,BUSH 304 1/4X1/8,$1.57,671404095420
4 PVC-DWV 45 ELL P321-040,45 PVCD 4,$18.97,054211175941
3/4 150# TYPE 304 SS SQ HEAD PLUG,PLUG 304 3/4,$2.86,671404096090
1-1/2 BLK CI 125# SQ HEAD PLUG,PLUG BLK 1-1/2,$5.83,69029134346
1/2 X 1/4 110-84 BAR STOCK BRASS HEX BUSH,BUSH BRS BAR 1/2X1/4,$1.96,
2 3000# FS SCREWED UNION,UNION 3000 SCR 2,$66.55,69029109095
1-1/2 X 6 SCH40 BLK PIPE NIPPLE,NIP BLK 1-1/2X6,$10.19,64444400253
1-1/4 BLK STD MERCHANT COUP STRAIGHT TAPPED,COUP BLK 1-1/4,$9.15,69029134272
4 STD BUTT WELD 90 ELL,90 BW 4,$42.61,
1/2 SWT 90 ELL WE500     607,90 SWT 1/2,$1.32,039923312723
"3"" 150# Full Face Non Asbestos Plated Bolt & Gasket Kit - GSNAFFG3",FB-30 BOLT PACK 3,$13.18,082647111462
"4"" 150# Full Face Non Asbestos Plated Bolt & Gasket Kit - GSNAFFG4",FB-40 BOLT PACK 4,$21.55,082647111516
JG 1/4 UNION CONNECTOR - PI0408S-US,PI0408S,$2.08,665626047664
3/8 PSTG ZNPLT TWIRL NUT,GRI PSTG 3/8,$4.77,69029123830
1-1/4 BLK MI 150# GJ UNION-LF,UNION BLK 1-1/4,$27.80,69029182385
1-1/2 X 2 SCH40 BLK PIPE NIPPLE,NIP BLK 1-1/2X2,$4.78,64444400245
1 3000# FS SW 90 ELL,90 3000 SW 1,$8.52,69029109130
1 150# TYPE 304 SS SQ HEAD PLUG,PLUG 304 1,$3.57,671404096106
2 150# TYPE 304 SS UNION,UNION 304 2,$38.32,671404096526
1 PVC SCH 80 UNION S X S,SPE 8057-010,$10.25,054211681947
3 BLK MI 150# 90 ELL,90 BLK 3,$70.79,69029135825
2 NON-ASBESTOS 150# FULL FACE FLANGE GASKET CGF1001.116.2.150,GSKT 150 FULL 2,$2.32,
1 X 6 SCH40 TYPE 304 SS NIPPLE,NIP 304 1X6,$8.67,671404027421
1-1/4 BLK MI 150# 90 ST ELL,90ST BLK 1-1/4,$12.60,69029134706
1-1/2 X 3 SCH40 BLK PIPE NIPPLE,NIP BLK 1-1/2X3,$6.48,64444400247
3/4 X 2-1/2 SCH40 BLK PIPE NIPPLE,NIP BLK 3/4X2-1/2,$2.85,64444400144
1 BLK MI 150# CAP,CAP BLK 1,$4.59,69029134803
3/4 X 4 SCH40 TYPE 304 SS NIPPLE,NIP 304 3/4X4,$4.68,671404027216
3/4 72291 ROUGH BRASS 90 ST ELL 5422052 Lead Free,90ST BRS ROU 3/4 LF,$8.10,671404119874
3/8 X 10 FT N/C PLATED THREADED ROD (GAL),ROD 3/8X10 FT,$11.42,69029114537
2 BLK SCH40 PIPE T&C,PIPE BLK TC 2,$8.41,
1-1/2 PVC-DWV 90 STREET ELL P302-015,90ST PVCD 1-1/2,$3.49,054211176016
2 X 1-1/2 PVC-DWV RED COUP P102-251,COUP PVCD 2X1-1/2,$3.75,054211170632
1-1/2 PVC DWV M T/ADPT W/ NUT WSR SPGXSLI,SPE P103R-015,$3.79,054211986677
1/4 150# TYPE 304 SS 90 ELL,90 304 1/4,$2.41,671404094065
3 PVC SCH 80 PLASTIC PIPE - GRAY 43120     Plain End,PIPE PVC80 GRAY 3,$6.61,098248431205
3/4 X CL SCH80 BLK PIPE NIPPLE,NIP XH 3/4XCL,$3.95,64444401141
1/2 X 6 SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/2X6,$5.64,671404026851
1 X 3/4 72206 ROUGH BRASS HEX BUSHING  5422269 Lead Free (XNL114-1612),BUSH BRS 1X3/4 LF,$5.03,671404123062
3/4 PVC40 FEMALE ADPT,SPE 435-007,$0.75,054211162415
1-1/4 X 1 150# TYPE 304 SS BUSHING,BUSH 304 1-1/4X1,$7.78,671404095628
4 BLK STD MERCHANT COUP TAPER TAPPED,COUP BLK 4,$117.56,69029134289
1-1/2 X 1 150# TYPE 304 SS BUSHING,BUSH 304 1-1/2X1,$9.22,671404095673
3/4 C TUBE CAP,MUE W 07009,$1.63,685768232421
4 PVC-40 90 ELL S X S,SPE 406-040,$20.51,054211192641
1/4 BLK MI 150# 90 ELL,90 BLK 1/4,$4.00,69029134629
1/2 X 12 SCH40 BLK PIPE NIPPLE,NIP BLK 1/2X12,$9.81,64444400128
1/4 116-4 BAR STOCK BRASS 90 ST ELL,90ST BRS BAR 1/4,$2.51,
1 PVC-40 MALE ADAPTER,SPE 436-010,$0.94,054211162613
2 PVC-40 FEMALE ADAPTER,SPE 435-020,$2.06,054211162507
1/2 X CL SCH40 GALV PIPE NIPPLE,NIP GAL 1/2XCL,$2.38,64444400606
